user_id,feature_enabled,experiment_selected_date,event_date,games_played,revenue
1,0,1/17/18,1/15/18,31,0
1,0,1/17/18,1/16/18,8,0
1,0,1/17/18,1/17/18,27,0
1,0,1/17/18,1/18/18,20,0
1,0,1/17/18,1/19/18,39,0
1,0,1/17/18,1/20/18,23,0
1,0,1/17/18,1/21/18,16,0
1,0,1/17/18,1/22/18,29,0
1,0,1/17/18,1/23/18,20,0
1,0,1/17/18,1/24/18,24,0
11,1,1/22/18,1/22/18,5,0
12,0,1/17/18,1/15/18,32,0
12,0,1/17/18,1/16/18,38,0
12,0,1/17/18,1/17/18,42,0
12,0,1/17/18,1/18/18,34,0
12,0,1/17/18,1/19/18,16,0
12,0,1/17/18,1/20/18,22,0
12,0,1/17/18,1/21/18,25,0
12,0,1/17/18,1/22/18,28,0
12,0,1/17/18,1/23/18,23,0
12,0,1/17/18,1/24/18,19,0
22,1,1/17/18,1/15/18,27,0
22,1,1/17/18,1/16/18,23,0
22,1,1/17/18,1/17/18,27,0
22,1,1/17/18,1/18/18,18,0
22,1,1/17/18,1/19/18,34,0
22,1,1/17/18,1/20/18,21,0
22,1,1/17/18,1/21/18,23,0
22,1,1/17/18,1/22/18,27,0
22,1,1/17/18,1/23/18,25,0
22,1,1/17/18,1/24/18,22,0
32,1,1/19/18,1/19/18,4,0
33,0,1/17/18,1/15/18,5,0
33,0,1/17/18,1/16/18,5,0
33,0,1/17/18,1/17/18,6,0
33,0,1/17/18,1/18/18,5,0
33,0,1/17/18,1/19/18,5,0
33,0,1/17/18,1/21/18,5,0
33,0,1/17/18,1/22/18,3,0
33,0,1/17/18,1/23/18,1,0
41,0,1/20/18,1/20/18,2,0
42,0,1/17/18,1/15/18,1,0
42,0,1/17/18,1/16/18,5,0
42,0,1/17/18,1/17/18,10,0
42,0,1/17/18,1/18/18,1,0
42,0,1/17/18,1/19/18,5,0
42,0,1/17/18,1/20/18,0,0
42,0,1/17/18,1/21/18,5,0
42,0,1/17/18,1/22/18,0,0
42,0,1/17/18,1/23/18,0,0
42,0,1/17/18,1/24/18,0,0
52,1,1/17/18,1/15/18,1,0
52,1,1/17/18,1/17/18,3,0
52,1,1/17/18,1/22/18,1,0
55,0,1/18/18,1/18/18,2,0
55,0,1/18/18,1/20/18,5,0
55,0,1/18/18,1/21/18,2,0
58,0,1/17/18,1/15/18,8,0
58,0,1/17/18,1/16/18,22,3.98
58,0,1/17/18,1/17/18,28,0
58,0,1/17/18,1/18/18,15,0
58,0,1/17/18,1/19/18,20,0
